subject,age,gender,handedness,face_rating,masked_face
1,20,M,R,3.1,masked_neutral
2,19,F,R,3.27,masked_neutral
4,20,F,L,2.87,masked_neutral
5,18,F,R,3.24,masked_neutral
6,19,F,L,3.23,masked_neutral
7,19,F,R,3.41,masked_neutral
8,20,F,L,3.32,masked_neutral
9,23,M,R,2.92,masked_neutral
10,19,F,R,3.12,masked_neutral
11,21,F,L,3.23,masked_neutral
12,17,M,L,2.64,masked_neutral
13,21,M,R,3.42,masked_neutral
14,19,F,R,3,masked_neutral
15,18,M,L,3.06,masked_neutral
16,18,F,R,3.66,masked_neutral
17,19,F,R,2.53,masked_neutral
18,18,M,L,3.08,masked_neutral
19,18,F,L,2.75,masked_neutral
20,19,F,R,3.13,masked_neutral
21,18,F,R,2.72,masked_neutral
22,18,M,R,3.25,masked_neutral
23,18,F,L,3.26,masked_neutral
24,18,M,L,3.05,masked_neutral
25,18,F,L,3.27,masked_neutral
26,20,F,L,2.54,masked_neutral
27,19,F,L,3.59,masked_neutral
28,18,F,L,3.07,masked_neutral
29,18,F,R,2.9,masked_neutral
30,18,F,R,3.2,masked_neutral
31,18,F,L,3.39,masked_neutral
32,18,M,R,2.8,masked_neutral
33,19,M,L,2.75,masked_neutral
34,20,F,R,3.07,masked_neutral
35,22,M,L,3.14,masked_neutral
36,18,F,R,2.81,masked_neutral
37,22,F,R,2.52,masked_neutral
38,19,F,L,3,masked_neutral
39,19,F,R,2.82,masked_neutral
40,20,F,L,3.29,masked_neutral
41,21,M,R,3.09,masked_neutral
42,18,M,R,2.89,masked_neutral
43,19,M,L,2.8,masked_neutral
44,18,F,R,3.15,masked_neutral
45,19,F,L,3.47,masked_neutral
46,20,M,R,3.43,masked_neutral
66,20,M,L,3.2,masked_neutral
72,36,M,R,3.49,masked_neutral
106,19,M,R,3.08,masked_neutral
103,19,F,R,3.08,masked_neutral
116,25,M,R,2.48,masked_neutral
117,24,F,R,3.05,masked_neutral
56,18,F,L,3.3,masked_neutral
78,19,F,R,2.78,masked_neutral
91,21,F,L,3,masked_neutral
94,19,M,L,2.74,masked_neutral
113,69,F,L,2.91,masked_neutral
48,27,F,R,3.25,masked_neutral
49,24,M,R,3.64,masked_neutral
50,47,M,R,3.47,masked_neutral
55,19,F,R,3.29,masked_neutral
61,21,M,R,2.71,masked_neutral
77,18,F,L,3.5,masked_neutral
79,21,M,R,2.4,masked_neutral
88,26,F,L,3.61,masked_neutral
89,20,F,R,2.73,masked_neutral
108,25,F,R,2.73,masked_neutral
112,20,M,R,2.96,masked_neutral
114,23,M,L,3.2,masked_neutral
60,18,F,L,3.39,masked_neutral
70,28,F,R,2.49,masked_neutral
74,20,F,L,3.04,masked_neutral
84,22,F,R,2.53,masked_neutral
87,29,F,R,3.11,masked_neutral
96,19,F,R,2.65,masked_neutral
105,21,F,L,3.34,masked_neutral
109,21,M,L,3.53,masked_neutral
52,35,F,R,3.05,masked_neutral
59,24,F,R,3.07,masked_neutral
62,20,M,R,2.8,masked_neutral
63,20,M,R,2.9,masked_neutral
67,20,F,L,3.24,masked_neutral
98,28,M,R,3.14,masked_neutral
83,19,M,L,3.27,masked_neutral
95,24,F,R,3.33,masked_neutral
111,22,F,L,2.78,masked_neutral
69,22,F,L,3.19,masked_neutral
82,19,M,R,2.92,masked_neutral
97,22,F,L,3.29,masked_neutral
76,19,F,L,2.93,masked_neutral
64,19,M,L,2.96,masked_neutral
93,18,F,R,3.02,masked_neutral
51,23,F,L,3.2,masked_neutral
85,23,M,L,3.14,masked_neutral
92,21,F,R,2.67,masked_neutral
65,21,M,R,2.69,masked_neutral
100,19,M,R,3.19,masked_neutral
107,23,M,R,3.19,masked_neutral
81,21,M,L,3.1,masked_neutral
90,21,M,R,3.07,masked_neutral
86,23,F,R,2.73,masked_neutral
75,52,M,L,2.95,masked_neutral
73,24,F,R,2.89,masked_neutral
101,21,F,L,3,masked_neutral
115,19,F,R,3.43,masked_neutral
80,19,F,R,3.27,masked_neutral
58,18,F,L,2.72,masked_neutral
99,22,M,L,3.42,masked_neutral
102,25,M,L,2.72,masked_neutral
1,20,M,R,3.22,masked_scowl
2,19,F,R,2.96,masked_scowl
4,20,F,L,2.78,masked_scowl
5,18,F,R,3.32,masked_scowl
6,19,F,L,3,masked_scowl
7,19,F,R,3.6,masked_scowl
8,20,F,L,2.78,masked_scowl
9,23,M,R,2.76,masked_scowl
10,19,F,R,3.06,masked_scowl
11,21,F,L,3.24,masked_scowl
12,17,M,L,3.13,masked_scowl
13,21,M,R,3.26,masked_scowl
14,19,F,R,2.78,masked_scowl
15,18,M,L,2.6,masked_scowl
16,18,F,R,3.75,masked_scowl
17,19,F,R,2.46,masked_scowl
18,18,M,L,2.96,masked_scowl
19,18,F,L,2.96,masked_scowl
20,19,F,R,2.79,masked_scowl
21,18,F,R,2.74,masked_scowl
22,18,M,R,3.27,masked_scowl
23,18,F,L,3.2,masked_scowl
24,18,M,L,2.89,masked_scowl
25,18,F,L,3.22,masked_scowl
26,20,F,L,2.35,masked_scowl
27,19,F,L,3.12,masked_scowl
28,18,F,L,2.77,masked_scowl
29,18,F,R,3.34,masked_scowl
30,18,F,R,2.93,masked_scowl
31,18,F,L,3.41,masked_scowl
32,18,M,R,2.89,masked_scowl
33,19,M,L,2.62,masked_scowl
