age,gender,handedness,mean_face_rating,social_anxiety
20,M,R,3.163333333,1
19,F,R,3.186666667,1
20,F,L,2.81,0
18,F,R,3.413333333,1
19,F,L,3.19,1
19,F,R,3.566666667,1
20,F,L,3.143333333,1
23,M,R,2.916666667,0
19,F,R,3.203333333,1
21,F,L,3.206666667,1
17,M,L,3.116666667,0
21,M,R,3.346666667,1
19,F,R,2.82,0
18,M,L,2.88,0
18,F,R,3.776666667,1
19,F,R,2.663333333,0
18,M,L,3,0
18,F,L,2.973333333,0
19,F,R,2.92,0
18,F,R,2.873333333,0
18,M,R,3.08,1
18,F,L,3.233333333,1
18,M,L,2.98,0
18,F,L,3.34,1
20,F,L,2.57,0
19,F,L,3.37,1
18,F,L,2.946666667,0
18,F,R,3.106666667,1
18,F,R,3.056666667,1
18,F,L,3.396666667,1
18,M,R,2.873333333,0
19,M,L,2.69,0
20,F,R,3.09,0
22,M,L,3.19,1
18,F,R,2.78,0
22,F,R,2.64,0
19,F,L,3.296666667,1
19,F,R,2.976666667,0
20,F,L,3.396666667,1
21,M,R,2.84,0
18,M,R,3.136666667,1
19,M,L,2.97,0
18,F,R,3.056666667,0
19,F,L,3.45,1
20,M,R,3.393333333,1
20,M,L,3.343333333,1
36,M,R,3.31,1
19,M,R,2.873333333,0
19,F,R,3.183333333,1
25,M,R,2.48,0
24,F,R,3.173333333,1
18,F,L,3.386666667,1
19,F,R,2.723333333,0
21,F,L,3.043333333,0
19,M,L,2.773333333,0
69,F,L,3.243333333,1
27,F,R,3.156666667,1
24,M,R,3.7,1
47,M,R,3.283333333,1
19,F,R,3.256666667,1
21,M,R,2.76,0
18,F,L,3.55,1
21,M,R,2.336666667,0
26,F,L,3.416666667,1
20,F,R,3.053333333,1
25,F,R,2.973333333,0
20,M,R,3.003333333,0
23,M,L,3.253333333,1
18,F,L,3.37,1
28,F,R,2.583333333,0
20,F,L,3.026666667,0
22,F,R,2.78,0
29,F,R,3.09,0
19,F,R,2.82,0
21,F,L,3.29,1
21,M,L,3.416666667,1
35,F,R,3.016666667,0
24,F,R,3.146666667,1
20,M,R,3.006666667,0
20,M,R,2.953333333,0
20,F,L,3.3,1
28,M,R,2.983333333,0
19,M,L,3.203333333,1
24,F,R,3.09,0
22,F,L,3.01,0
22,F,L,3.136666667,0
19,M,R,2.886666667,0
22,F,L,3.353333333,1
19,F,L,3.103333333,1
19,M,L,3.003333333,0
18,F,R,3.02,0
23,F,L,3.076666667,0
23,M,L,3.006666667,0
21,F,R,2.62,0
21,M,R,2.856666667,0
19,M,R,3.45,1
23,M,R,3.423333333,1
21,M,L,3.113333333,1
21,M,R,3.1,1
23,F,R,2.8,0
52,M,L,2.83,0
24,F,R,3.083333333,0
21,F,L,2.883333333,0
19,F,R,3.523333333,1
19,F,R,3.293333333,1
18,F,L,2.686666667,0
22,M,L,3.193333333,1
25,M,L,2.946666667,0
