subject,age,gender,handedness,eyedominance,percept_mean_neutral,percept_mean_scowl,percept_mean_smile,percept_mean_smile_vs_neutral,percept_mean_smile_vs_scowl,study
1.00,20.00,M,R,R,3.10,3.22,3.17,0.07,-0.05,1.00
2.00,19.00,F,R,L,3.27,2.96,3.33,0.07,0.38,1.00
4.00,20.00,F,L,L,2.87,2.78,2.78,-0.09,-0.01,1.00
5.00,18.00,F,R,R,3.24,3.32,3.68,0.44,0.36,1.00
6.00,19.00,F,BOTH,R,3.23,3.00,3.34,0.11,0.34,1.00
7.00,19.00,F,R,L,3.41,3.60,3.69,0.28,0.09,1.00
8.00,20.00,F,R,R,3.32,2.78,3.33,0.02,0.55,1.00
9.00,23.00,M,R,R,2.92,2.76,3.07,0.15,0.31,1.00
10.00,19.00,F,R,R,3.12,3.06,3.43,0.31,0.37,1.00
11.00,21.00,F,R,R,3.23,3.24,3.15,-0.08,-0.09,1.00
12.00,17.00,M,R,R,2.64,3.13,3.58,0.95,0.45,1.00
13.00,21.00,M,R,R,3.42,3.26,3.36,-0.05,0.11,1.00
14.00,19.00,F,R,L,3.00,2.78,2.68,-0.32,-0.10,1.00
15.00,18.00,M,L,L,3.06,2.60,2.98,-0.07,0.38,1.00
16.00,18.00,F,R,L,3.66,3.75,3.92,0.26,0.17,1.00
17.00,19.00,F,R,L,2.53,2.46,3.00,0.47,0.54,1.00
18.00,18.00,M,R,L,3.08,2.96,2.96,-0.12,0.00,1.00
19.00,18.00,F,R,L,2.75,2.96,3.21,0.46,0.24,1.00
20.00,19.00,F,R,L,3.13,2.79,2.84,-0.29,0.06,1.00
21.00,18.00,F,R,R,2.72,2.74,3.16,0.44,0.43,1.00
22.00,18.00,M,R,R,3.25,3.27,2.72,-0.53,-0.55,1.00
23.00,18.00,F,L,R,3.26,3.20,3.24,-0.02,0.04,1.00
24.00,18.00,M,L,R,3.05,2.89,3.00,-0.05,0.11,1.00
25.00,18.00,F,R,L,3.27,3.22,3.53,0.25,0.31,1.00
26.00,20.00,F,R,L,2.54,2.35,2.82,0.28,0.47,1.00
27.00,19.00,F,R,L,3.59,3.12,3.40,-0.19,0.28,1.00
28.00,18.00,F,R,L,3.07,2.77,3.00,-0.07,0.23,1.00
29.00,18.00,F,R,R,2.90,3.34,3.08,0.18,-0.25,1.00
30.00,18.00,F,R,L,3.20,2.93,3.04,-0.16,0.11,1.00
31.00,18.00,F,R,R,3.39,3.41,3.39,0.00,-0.02,1.00
32.00,18.00,M,R,L,2.80,2.89,2.93,0.13,0.04,1.00
33.00,19.00,M,L,L,2.75,2.62,2.70,-0.05,0.07,1.00
34.00,20.00,F,R,R,3.07,3.15,3.05,-0.01,-0.10,1.00
35.00,22.00,M,L,L,3.14,3.26,3.17,0.03,-0.09,1.00
36.00,18.00,F,R,L,2.81,2.68,2.85,0.03,0.17,1.00
37.00,22.00,F,R,L,2.52,2.65,2.75,0.24,0.10,1.00
38.00,19.00,F,R,L,3.00,3.13,3.76,0.76,0.63,1.00
39.00,19.00,F,R,L,2.82,2.88,3.23,0.40,0.35,1.00
40.00,20.00,F,R,L,3.29,3.32,3.58,0.29,0.25,1.00
41.00,21.00,M,R,L,3.09,2.93,2.50,-0.59,-0.43,1.00
42.00,18.00,M,R,R,2.89,3.20,3.32,0.43,0.12,1.00
43.00,19.00,M,R,R,2.80,2.78,3.33,0.53,0.55,1.00
44.00,18.00,F,R,R,3.15,3.04,2.98,-0.17,-0.06,1.00
45.00,19.00,F,R,R,3.47,3.10,3.78,0.31,0.68,1.00
46.00,20.00,M,R,L,3.43,3.50,3.25,-0.18,-0.25,1.00
66.00,20.00,M,R,R,3.20,3.16,3.67,0.47,0.51,2.00
