subject,perceptual_scale_response_mean_neutral,perceptual_scale_response_mean_scowl,perceptual_scale_response_mean_smile,objective_awareness,objective_awareness_filter,age,gender,handedness,ethnicity,eye_dominance
20.00,3.20,3.16,3.67,32.00,1.00,20.00,M,R,2.00,R
26.00,3.49,3.24,3.20,32.00,1.00,36.00,M,R,2.00,R
60.00,3.08,2.47,3.07,32.00,1.00,19.00,M,R,7.00,
57.00,3.08,3.28,3.19,33.00,1.00,19.00,F,R,1.00,R
70.00,2.48,2.42,2.54,34.00,1.00,25.00,M,R,2.00,R
71.00,3.05,3.22,3.25,34.00,1.00,24.00,F,R,2.00,L
10.00,3.30,3.47,3.39,35.00,1.00,18.00,F,R,2.00,R
32.00,2.78,2.73,2.66,35.00,1.00,19.00,F,R,3.00,L
45.00,3.00,2.98,3.15,35.00,1.00,21.00,F,R,2.00,R
48.00,2.74,2.61,2.97,35.00,1.00,19.00,M,R,2.00,R
67.00,2.91,3.16,3.66,35.00,1.00,69.00,F,R,1.00,L
2.00,3.25,2.97,3.25,36.00,1.00,27.00,F,R,6.00,L
3.00,3.64,3.67,3.79,36.00,1.00,24.00,M,R,5.00,L
4.00,3.47,3.25,3.13,36.00,1.00,47.00,M,R,1.00,L
9.00,3.29,3.27,3.21,36.00,1.00,19.00,F,R,1.00,R
15.00,2.71,2.65,2.92,36.00,1.00,21.00,M,R,6.00,L
31.00,3.50,3.65,3.50,36.00,1.00,18.00,F,R,2.00,L
33.00,2.40,2.28,2.33,36.00,1.00,21.00,M,R,6.00,L
42.00,3.61,3.17,3.47,36.00,1.00,26.00,F,R,1.00,R
43.00,2.73,3.18,3.25,36.00,1.00,20.00,F,R,1.00,R
62.00,2.73,3.08,3.11,36.00,1.00,25.00,F,R,3.00,R
66.00,2.96,3.17,2.88,36.00,1.00,20.00,M,R,2.00,R
68.00,3.20,3.18,3.38,36.00,1.00,23.00,M,R,7.00,R
14.00,3.39,3.36,3.36,37.00,1.00,18.00,F,R,1.00,R
24.00,2.49,2.64,2.62,37.00,1.00,28.00,F,R,4.00,L
28.00,3.04,2.98,3.06,37.00,1.00,20.00,F,R,2.00,R
38.00,2.53,3.00,2.81,37.00,1.00,22.00,F,R,1.00,R
41.00,3.11,3.39,2.77,37.00,1.00,29.00,F,B,2.00,R
50.00,2.65,2.92,2.89,37.00,1.00,19.00,F,R,2.00,R
59.00,3.34,3.22,3.31,37.00,1.00,21.00,F,R,1.00,L
63.00,3.53,3.35,3.37,37.00,1.00,21.00,M,L,2.00,L
6.00,3.05,3.03,2.97,38.00,1.00,35.00,F,R,1.00,L
13.00,3.07,3.12,3.25,38.00,1.00,24.00,F,R,1.00,L
16.00,2.80,2.84,3.38,38.00,1.00,20.00,M,R,1.00,L
17.00,2.90,2.98,2.98,38.00,1.00,20.00,M,R,2.00,R
21.00,3.24,3.22,3.44,38.00,1.00,20.00,F,R,4.00,R
52.00,3.14,2.75,3.06,38.00,1.00,28.00,M,R,2.00,L
8.00,1.63,1.57,1.60,39.00,1.00,25.00,M,R,4.00,R
11.00,2.51,2.69,2.59,39.00,1.00,19.00,O,R,4.00,R
37.00,3.27,3.32,3.02,39.00,1.00,19.00,M,L,1.00,L
49.00,3.33,3.08,2.86,39.00,1.00,24.00,F,R,4.00,R
65.00,2.78,3.03,3.22,39.00,1.00,22.00,F,L,1.00,R
23.00,3.19,3.05,3.17,40.00,1.00,22.00,F,R,3.00,R
36.00,2.92,2.76,2.98,40.00,1.00,19.00,M,R,6.00,R
51.00,3.29,3.07,3.70,40.00,1.00,22.00,F,R,1.00,L
30.00,2.93,2.87,3.51,41.00,1.00,19.00,F,R,2.00,R
18.00,2.96,3.13,2.92,43.00,1.00,19.00,M,R,6.00,R
47.00,3.02,3.12,2.92,44.00,1.00,18.00,F,R,2.00,R
5.00,3.20,2.94,3.09,45.00,0.00,23.00,F,L,3.00,R
39.00,3.14,3.12,2.76,45.00,0.00,23.00,M,R,6.00,L
46.00,2.67,2.42,2.77,45.00,0.00,21.00,F,R,1.00,L
19.00,2.69,2.93,2.95,47.00,0.00,21.00,M,R,1.00,R
54.00,3.19,3.47,3.69,47.00,0.00,19.00,M,R,1.00,R
61.00,3.19,3.50,3.58,47.00,0.00,23.00,M,R,2.00,R
35.00,3.10,3.06,3.18,48.00,0.00,21.00,M,B,2.00,L
44.00,3.07,3.02,3.21,50.00,0.00,21.00,M,R,2.00,L
40.00,2.73,2.72,2.95,51.00,0.00,23.00,F,R,2.00,L
29.00,2.95,2.65,2.89,52.00,0.00,52.00,M,L,3.00,L
27.00,2.89,2.83,3.53,60.00,0.00,24.00,F,R,4.00,R
55.00,3.00,2.09,3.56,64.00,0.00,21.00,F,R,1.00,R
69.00,3.43,3.28,3.86,65.00,0.00,19.00,F,R,1.00,L
34.00,3.27,3.11,3.50,67.00,0.00,19.00,F,R,2.00,R
12.00,2.72,3.02,2.32,68.00,0.00,18.00,F,R,2.00,R
53.00,3.42,2.92,3.24,71.00,0.00,22.00,M,L,2.00,L
56.00,2.72,3.17,2.95,71.00,0.00,25.00,M,L,2.00,L
