state,reigion,division,population,income,illiteracy,life_exp,murder,hs_grad,frost,area,area_group
Alabama,South,East South Central,3615,3624,2.1,69.05,15.1,41.3,20,50708,Medium
Alaska,West,Pacific,365,6315,1.5,69.31,11.3,66.7,152,566432,Large
Arizona,West,Mountain,2212,4530,1.8,70.55,7.8,58.1,15,113417,Large
Arkansas,South,West South Central,2110,3378,1.9,70.66,10.1,39.9,65,51945,Medium
California,West,Pacific,21198,5114,1.1,71.71,10.3,62.6,20,156361,Large
Colorado,West,Mountain,2541,4884,0.7,72.06,6.8,63.9,166,103766,Large
Connecticut,Northeast,New England,3100,5348,1.1,72.48,3.1,56,139,4862,Small
Delaware,South,South Atlantic,579,4809,0.9,70.06,6.2,54.6,103,1982,Small
Florida,South,South Atlantic,8277,4815,1.3,70.66,10.7,52.6,11,54090,Medium
Georgia,South,South Atlantic,4931,4091,2,68.54,13.9,40.6,60,58073,Medium
Hawaii,West,Pacific,868,4963,1.9,73.6,6.2,61.9,0,6425,Small
Idaho,West,Mountain,813,4119,0.6,71.87,5.3,59.5,126,82677,Large
Illinois,North Central,East North Central,11197,5107,0.9,70.14,10.3,52.6,127,55748,Medium
Indiana,North Central,East North Central,5313,4458,0.7,70.88,7.1,52.9,122,36097,Small
Iowa,North Central,West North Central,2861,4628,0.5,72.56,2.3,59,140,55941,Medium
Kansas,North Central,West North Central,2280,4669,0.6,72.58,4.5,59.9,114,81787,Large
Kentucky,South,East South Central,3387,3712,1.6,70.1,10.6,38.5,95,39650,Small
Louisiana,South,West South Central,3806,3545,2.8,68.76,13.2,42.2,12,44930,Medium
Maine,Northeast,New England,1058,3694,0.7,70.39,2.7,54.7,161,30920,Small
Maryland,South,South Atlantic,4122,5299,0.9,70.22,8.5,52.3,101,9891,Small
Massachusetts,Northeast,New England,5814,4755,1.1,71.83,3.3,58.5,103,7826,Small
Michigan,North Central,East North Central,9111,4751,0.9,70.63,11.1,52.8,125,56817,Medium
Minnesota,North Central,West North Central,3921,4675,0.6,72.96,2.3,57.6,160,79289,Large
Mississippi,South,East South Central,2341,3098,2.4,68.09,12.5,41,50,47296,Medium
Missouri,North Central,West North Central,4767,4254,0.8,70.69,9.3,48.8,108,68995,Medium
Montana,West,Mountain,746,4347,0.6,70.56,5,59.2,155,145587,Large
Nebraska,North Central,West North Central,1544,4508,0.6,72.6,2.9,59.3,139,76483,Large
Nevada,West,Mountain,590,5149,0.5,69.03,11.5,65.2,188,109889,Large
New Hampshire,Northeast,New England,812,4281,0.7,71.23,3.3,57.6,174,9027,Small
New Jersey,Northeast,Middle Atlantic,7333,5237,1.1,70.93,5.2,52.5,115,7521,Small
New Mexico,West,Mountain,1144,3601,2.2,70.32,9.7,55.2,120,121412,Large
New York,Northeast,Middle Atlantic,18076,4903,1.4,70.55,10.9,52.7,82,47831,Medium
North Carolina,South,South Atlantic,5441,3875,1.8,69.21,11.1,38.5,80,48798,Medium
North Dakota,North Central,West North Central,637,5087,0.8,72.78,1.4,50.3,186,69273,Medium
Ohio,North Central,East North Central,10735,4561,0.8,70.82,7.4,53.2,124,40975,Medium
Oklahoma,South,West South Central,2715,3983,1.1,71.42,6.4,51.6,82,68782,Medium
Oregon,West,Pacific,2284,4660,0.6,72.13,4.2,60,44,96184,Large
Pennsylvania,Northeast,Middle Atlantic,11860,4449,1,70.43,6.1,50.2,126,44966,Medium
Rhode Island,Northeast,New England,931,4558,1.3,71.9,2.4,46.4,127,1049,Small
South Carolina,South,South Atlantic,2816,3635,2.3,67.96,11.6,37.8,65,30225,Small
South Dakota,North Central,West North Central,681,4167,0.5,72.08,1.7,53.3,172,75955,Medium
Tennessee,South,East South Central,4173,3821,1.7,70.11,11,41.8,70,41328,Medium
Texas,South,West South Central,12237,4188,2.2,70.9,12.2,47.4,35,262134,Large
Utah,West,Mountain,1203,4022,0.6,72.9,4.5,67.3,137,82096,Large
Vermont,Northeast,New England,472,3907,0.6,71.64,5.5,57.1,168,9267,Small
Virginia,South,South Atlantic,4981,4701,1.4,70.08,9.5,47.8,85,39780,Small
Washington,West,Pacific,3559,4864,0.6,71.72,4.3,63.5,32,66570,Medium
West Virginia,South,South Atlantic,1799,3617,1.4,69.48,6.7,41.6,100,24070,Small
Wisconsin,North Central,East North Central,4589,4468,0.7,72.48,3,54.5,149,54464,Medium
Wyoming,West,Mountain,376,4566,0.6,70.29,6.9,62.9,173,97203,Large
