subject,values.congruency,correct,latency,color
1,1,0.941176471,600.3529412,black
1,1,1,605.5,red
1,1,1,623.3333333,blue
1,1,1,870.0588235,green
1,2,0.823529412,866.8823529,black
1,2,1,837.5882353,red
1,2,0.888888889,847.9444444,blue
1,2,0.944444444,809.8888889,green
2,1,1,865.125,black
2,1,1,1047.705882,red
2,1,1,914,blue
2,1,1,1266.222222,green
2,2,0.888888889,1279.388889,black
2,2,0.888888889,2042.5,red
2,2,1,1129.444444,blue
2,2,0.882352941,1332.882353,green
3,1,1,791.7777778,black
3,1,1,611.7647059,red
3,1,1,757.6666667,blue
3,1,1,822.6470588,green
3,2,1,897.6666667,black
3,2,0.941176471,783.8823529,red
3,2,1,774.7777778,blue
3,2,1,663.6470588,green
4,1,1,661.8235294,black
4,1,1,830.9444444,red
4,1,1,749.3333333,blue
4,1,1,928.3125,green
4,2,0.888888889,741.8333333,black
4,2,0.941176471,705.2352941,red
4,2,0.944444444,950.7222222,blue
4,2,0.888888889,641.7777778,green
5,1,0.888888889,524.6111111,black
5,1,1,618.2941176,red
5,1,1,1042.764706,blue
5,1,0.888888889,608.6666667,green
5,2,0.888888889,767.8888889,black
5,2,0.882352941,721.8823529,red
5,2,1,683.7222222,blue
5,2,0.941176471,657.5882353,green
6,1,0.888888889,908.2222222,black
6,1,1,1255.777778,red
6,1,1,1016.235294,blue
6,1,0.944444444,1304.5,green
6,2,0,982.5,black
6,2,0.055555556,1317.111111,red
6,2,0,1158.705882,blue
6,2,0.166666667,1297.333333,green
7,1,1,1016.0625,black
7,1,1,1224.176471,red
7,1,1,1648.111111,blue
7,1,1,1329.944444,green
7,2,0.944444444,1464.333333,black
7,2,1,1437.352941,red
7,2,1,1913.333333,blue
7,2,0.944444444,1792.055556,green
8,1,1,758.7647059,black
8,1,1,968.5294118,red
8,1,0.888888889,877.8888889,blue
8,1,1,939.4444444,green
8,2,0.944444444,977.2222222,black
8,2,1,1134,red
8,2,1,1078.833333,blue
8,2,1,1195.764706,green
9,1,1,618.5,black
9,1,0.944444444,735.1666667,red
9,1,1,792.1666667,blue
9,1,0.941176471,634.8235294,green
9,2,0.888888889,852.5,black
9,2,1,680.9444444,red
9,2,0.944444444,750.6111111,blue
9,2,1,846.1176471,green
10,1,1,856.4705882,black
10,1,1,871.1111111,red
10,1,1,798.5555556,blue
10,1,0.944444444,1160,green
10,2,0.888888889,1112.111111,black
10,2,0.882352941,1062,red
10,2,0.611111111,1142.777778,blue
10,2,1,986.625,green
11,1,1,1269.277778,black
11,1,1,1376.647059,red
11,1,1,1269.388889,blue
11,1,1,1573.647059,green
11,2,0.888888889,2138.833333,black
11,2,0.722222222,1891.222222,red
11,2,0.588235294,2061.411765,blue
11,2,0.529411765,2179.764706,green
12,1,1,582.2777778,black
12,1,1,620.1176471,red
12,1,1,728.3529412,blue
12,1,1,592.1111111,green
12,2,1,733.4444444,black
12,2,1,866.8235294,red
12,2,1,708,blue
12,2,1,726,green
13,1,1,775.7777778,black
13,1,1,868.7222222,red
13,1,1,880.9375,blue
13,1,1,769.5,green
13,2,1,960.1111111,black
13,2,1,939.7058824,red
13,2,1,1077.470588,blue
13,2,1,917.9444444,green
14,1,1,620.5,black
14,1,1,573.5555556,red
14,1,1,582.875,blue
14,1,0.944444444,683.6666667,green
14,2,0.75,774.6875,black
14,2,0.944444444,720.7777778,red
14,2,0.833333333,725.6666667,blue
14,2,0.888888889,682.7777778,green
15,1,1,681.4117647,black
15,1,1,729.0555556,red
15,1,1,829.4117647,blue
15,1,0.941176471,763.7647059,green
15,2,0.888888889,1149.5,black
15,2,0.944444444,989.5555556,red
15,2,0.888888889,984.5,blue
15,2,0.823529412,882.5882353,green
16,1,1,772.3333333,black
16,1,1,1051.722222,red
16,1,1,1156.941176,blue
16,1,1,826.1666667,green
16,2,0.888888889,1124.333333,black
16,2,0.944444444,895.9444444,red
16,2,1,1007.529412,blue
16,2,1,874,green
17,1,0.888888889,515.4444444,black
17,1,1,579.2777778,red
17,1,0.944444444,676.2777778,blue
17,1,0.941176471,677.0588235,green
17,2,0.9375,614.125,black
17,2,0.888888889,556.8333333,red
17,2,1,549.6111111,blue
17,2,0.941176471,585.8235294,green
18,1,1,669.0588235,black
18,1,1,718.2352941,red
18,1,1,815.7777778,blue
18,1,1,724.4117647,green
18,2,0.944444444,811.7777778,black
18,2,0.944444444,785.5555556,red
18,2,0.941176471,730.0588235,blue
18,2,1,846.8888889,green
19,1,1,727.1176471,black
19,1,1,697.2352941,red
19,1,0.882352941,810.7058824,blue
19,1,0.888888889,842.4444444,green
19,2,0.941176471,649.5882353,black
19,2,1,839.0555556,red
19,2,0.777777778,765.5,blue
19,2,1,943.7222222,green
20,1,0.941176471,517.4117647,black
20,1,1,623,red
20,1,1,574,blue
20,1,1,614.3888889,green
20,2,0.823529412,582.2352941,black
20,2,0.944444444,641.4444444,red
20,2,0.944444444,584.8888889,blue
20,2,1,622.9411765,green
21,1,1,942.7647059,black
21,1,0.888888889,910.6666667,red
21,1,1,888.7222222,blue
21,1,1,853.6666667,green
21,2,0.941176471,1035.529412,black
21,2,1,1016.125,red
21,2,0.944444444,1186.5,blue
21,2,0.944444444,953.1666667,green
22,1,1,732.0555556,black
22,1,1,1002.611111,red
22,1,1,937.3888889,blue
22,1,1,990.4117647,green
22,2,1,1095.470588,black
22,2,0.941176471,963.4705882,red
22,2,1,992.1176471,blue
22,2,1,975.7222222,green
23,1,1,624.9444444,black
23,1,1,593.7647059,red
23,1,1,710.9444444,blue
23,1,1,686.1666667,green
23,2,0.941176471,805.3529412,black
23,2,0.882352941,784.2941176,red
23,2,0.944444444,885.2777778,blue
23,2,1,776.1176471,green
24,1,1,710.7058824,black
24,1,1,972.1764706,red
24,1,1,855.2777778,blue
24,1,1,896.3333333,green
24,2,1,1011.666667,black
24,2,1,1028.277778,red
24,2,1,1511.058824,blue
24,2,1,1061.470588,green
25,1,1,705.2647059,black
25,1,1,723.5,red
25,1,1,729.6111111,blue
25,1,0.970588235,690.8529412,green
25,2,0.971428571,1019.342857,black
25,2,0.888888889,701.5277778,red
25,2,0.941176471,757.5882353,blue
25,2,1,773.6857143,green
26,1,1,989.5882353,black
26,1,1,1074.111111,red
26,1,1,1119.111111,blue
26,1,1,1138.777778,green
26,2,0.941176471,1864.647059,black
26,2,0.944444444,1256.444444,red
26,2,0.9375,1456.125,blue
26,2,0.888888889,1544.777778,green
27,1,1,581.4117647,black
27,1,0.944444444,704.3333333,red
27,1,0.888888889,809.6111111,blue
27,1,1,753.0555556,green
27,2,1,717.7647059,black
27,2,1,817.7058824,red
27,2,0.941176471,700.7058824,blue
27,2,0.944444444,741.6111111,green
28,1,1,447.5625,black
28,1,1,467.7777778,red
28,1,0.944444444,729.7222222,blue
28,1,1,551.3529412,green
28,2,1,690.2222222,black
28,2,0.941176471,583.3529412,red
28,2,0.944444444,718.1666667,blue
28,2,1,683.4444444,green
29,1,1,1306.705882,black
29,1,1,1614.294118,red
29,1,1,1384.055556,blue
29,1,0.944444444,1575.888889,green
29,2,0.944444444,1773.777778,black
29,2,1,1898.705882,red
29,2,0.888888889,1851.444444,blue
29,2,0.941176471,1784.352941,green
30,1,1,643.7647059,black
30,1,0.944444444,727.8333333,red
30,1,1,936.4444444,blue
30,1,0.875,973.1875,green
30,2,1,769.2777778,black
30,2,0.941176471,1306.411765,red
30,2,0.944444444,751.1666667,blue
30,2,1,971.9444444,green
31,1,1,662.2352941,black
31,1,0.941176471,587.2941176,red
31,1,1,1164.444444,blue
31,1,0.944444444,979.5,green
31,2,0.944444444,796.5,black
31,2,0.777777778,855.8888889,red
31,2,1,909.8235294,blue
31,2,1,1044.588235,green
32,1,1,786.5294118,black
32,1,1,1212.941176,red
32,1,0.941176471,1164.058824,blue
32,1,1,1400.555556,green
32,2,0.888888889,1296.5,black
32,2,0.944444444,1096.611111,red
32,2,0.944444444,1239.722222,blue
32,2,1,1381.588235,green
33,1,1,772.5,black
33,1,0.944444444,1061.5,red
33,1,1,1276.823529,blue
33,1,1,1112.944444,green
33,2,0.888888889,1235.277778,black
33,2,1,1005.235294,red
33,2,1,1199.705882,blue
33,2,0.941176471,1156.470588,green
34,1,1,827.8333333,black
34,1,0.941176471,736.2941176,red
34,1,0.9375,897.1875,blue
34,1,0.944444444,839.6666667,green
34,2,0.647058824,1077.588235,black
34,2,0.833333333,1158.166667,red
34,2,1,1132.222222,blue
34,2,0.833333333,1047.555556,green
35,1,0.833333333,650.8888889,black
35,1,1,793.5294118,red
35,1,0.944444444,831.4444444,blue
35,1,1,617.5294118,green
35,2,0.833333333,907.8888889,black
35,2,0.944444444,770.4444444,red
35,2,1,961.75,blue
35,2,0.833333333,908.7777778,green
36,1,1,521.6666667,black
36,1,1,552.1764706,red
36,1,1,539.1111111,blue
36,1,1,630,green
36,2,1,618.1666667,black
36,2,1,676.8235294,red
36,2,0.882352941,652.0588235,blue
36,2,1,667.7647059,green
37,1,1,779.0588235,black
37,1,1,835.3888889,red
37,1,1,957.2777778,blue
37,1,1,1055.277778,green
37,2,0.9375,1037.8125,black
37,2,1,1043.833333,red
37,2,1,923.3888889,blue
37,2,1,1046.176471,green
38,1,0.9375,562.0625,black
38,1,1,574.6111111,red
38,1,0.888888889,629.9444444,blue
38,1,0.944444444,669,green
38,2,0.882352941,715.6470588,black
38,2,1,873.1176471,red
38,2,0.944444444,743.7222222,blue
38,2,1,663,green
39,1,1,554.7058824,black
39,1,1,639,red
39,1,0.944444444,606.7222222,blue
39,1,0.882352941,546.1764706,green
39,2,0.944444444,719.2777778,black
39,2,1,808.7647059,red
39,2,1,779.9411765,blue
39,2,0.944444444,714.1111111,green
41,1,1,651.6111111,black
41,1,1,640.1176471,red
41,1,1,619.6666667,blue
41,1,1,650.5294118,green
41,2,1,733.5,black
41,2,1,628.2941176,red
41,2,1,613.1111111,blue
41,2,0.941176471,665.2352941,green
42,1,0.941176471,620.4705882,black
42,1,1,732.8823529,red
42,1,1,735.8823529,blue
42,1,0.944444444,919,green
42,2,1,931,black
42,2,0.944444444,624.0555556,red
42,2,0.833333333,738.3888889,blue
42,2,1,714.9411765,green
43,1,1,734.7777778,black
43,1,0.944444444,788.1111111,red
43,1,1,798.5555556,blue
43,1,0.9375,974.9375,green
43,2,0.888888889,974.2222222,black
43,2,0.941176471,1026.294118,red
43,2,1,921.6470588,blue
43,2,1,860.3333333,green
44,1,1,794.3125,black
44,1,0.882352941,775.5294118,red
44,1,0.944444444,1063.611111,blue
44,1,0.888888889,1281.722222,green
44,2,0.722222222,1218.166667,black
44,2,0.722222222,1233.277778,red
44,2,0.882352941,1458.470588,blue
44,2,0.722222222,1291.388889,green
45,1,1,494.5882353,black
45,1,0.944444444,680.7222222,red
45,1,1,607.8823529,blue
45,1,0.888888889,683.6666667,green
45,2,0.882352941,652.7647059,black
45,2,0.882352941,682.9411765,red
45,2,0.833333333,764.1111111,blue
45,2,0.888888889,730.4444444,green
46,1,1,616.6,black
46,1,1,708.6857143,red
46,1,0.942857143,702.4857143,blue
46,1,0.941176471,832.5882353,green
46,2,0.972222222,781.6944444,black
46,2,0.972222222,737.1388889,red
46,2,0.970588235,732.2058824,blue
46,2,1,644.0857143,green
47,1,0.9375,518.1875,black
47,1,0.944444444,550.2777778,red
47,1,1,564.8823529,blue
47,1,0.888888889,713.3888889,green
47,2,1,751.2941176,black
47,2,0.944444444,732.6666667,red
47,2,0.944444444,726.2777778,blue
47,2,0.833333333,637.6666667,green
48,1,1,524.1111111,black
48,1,0.777777778,578.3888889,red
48,1,0.833333333,604.3888889,blue
48,1,0.611111111,627.4444444,green
48,2,0.882352941,648.0588235,black
48,2,0.666666667,708.8333333,red
48,2,0.866666667,629.2,blue
48,2,0.833333333,591.3333333,green
49,1,1,618.9444444,black
49,1,0.944444444,877.1111111,red
49,1,1,719.1666667,blue
49,1,0.9375,794.0625,green
49,2,0.944444444,924.7222222,black
49,2,1,865.3333333,red
49,2,1,770.5882353,blue
49,2,1,879.1764706,green
50,1,1,618.5555556,black
50,1,1,726.4444444,red
50,1,1,807.3888889,blue
50,1,1,687.9411765,green
50,2,0.941176471,910.2941176,black
50,2,0.9375,925.9375,red
50,2,1,927.5555556,blue
50,2,1,904,green
51,1,0.980769231,634.8076923,black
51,1,0.981132075,620.7169811,red
51,1,0.981132075,676.4150943,blue
51,1,0.942307692,647.6346154,green
51,2,0.921568627,857.0392157,black
51,2,0.962962963,691.9814815,red
51,2,0.942307692,733,blue
51,2,0.962264151,803.0377358,green
52,1,1,550.2941176,black
52,1,1,732.5294118,red
52,1,1,735.1111111,blue
52,1,1,807.5882353,green
52,2,0.944444444,1009.166667,black
52,2,0.944444444,759.2777778,red
52,2,0.941176471,734.4117647,blue
52,2,1,752.5555556,green
53,1,1,766.9444444,black
53,1,0.882352941,856.1764706,red
53,1,0.941176471,919.8235294,blue
53,1,0.875,1023.3125,green
53,2,1,1137.166667,black
53,2,1,912.1666667,red
53,2,1,1046.388889,blue
53,2,0.888888889,1084.666667,green
54,1,0.944444444,722.7222222,black
54,1,1,852.3529412,red
54,1,1,795.6470588,blue
54,1,1,1021.375,green
54,2,1,965.5,black
54,2,0.944444444,872,red
54,2,1,797.3333333,blue
54,2,1,774.5,green
55,1,0.970588235,560.5294118,black
55,1,0.885714286,650.8571429,red
55,1,0.971428571,648.2857143,blue
55,1,0.971428571,659.7142857,green
55,2,0.971428571,684.6285714,black
55,2,0.944444444,621.8333333,red
55,2,0.942857143,614.3714286,blue
55,2,0.971428571,626.9142857,green
56,1,1,636.3125,black
56,1,1,857.5555556,red
56,1,1,785,blue
56,1,1,1183.944444,green
56,2,0.888888889,777.3333333,black
56,2,1,881.1111111,red
56,2,1,935.5,blue
56,2,1,969.6470588,green
57,1,1,680.4375,black
57,1,1,939.6111111,red
57,1,1,893.0555556,blue
57,1,1,1074.111111,green
57,2,1,1235.055556,black
57,2,1,974.8235294,red
57,2,0.944444444,878.8333333,blue
57,2,1,848.5882353,green
58,1,1,649.875,black
58,1,1,655.8333333,red
58,1,0.882352941,888.2352941,blue
58,1,1,631,green
58,2,0.722222222,1016.888889,black
58,2,0.941176471,968.7647059,red
58,2,0.944444444,923.5,blue
58,2,0.944444444,838.5,green
59,1,1,658.2941176,black
59,1,1,785.3888889,red
59,1,0.941176471,751.8823529,blue
59,1,0.833333333,699.5,green
59,2,0.875,706.5,black
59,2,0.944444444,849.5,red
59,2,0.944444444,710.6111111,blue
59,2,1,749.3333333,green
60,1,1,581,black
60,1,0.8125,512.4375,red
60,1,1,635.6666667,blue
60,1,1,587.7222222,green
60,2,0.882352941,795,black
60,2,0.888888889,703.6111111,red
60,2,0.941176471,837.9411765,blue
60,2,1,612.4444444,green
61,1,1,544.1176471,black
61,1,1,577,red
61,1,1,581.375,blue
61,1,0.823529412,580.9411765,green
61,2,0.888888889,632.5555556,black
61,2,0.888888889,704.1666667,red
61,2,0.888888889,599.5,blue
61,2,0.944444444,622.9444444,green
62,1,1,549.1176471,black
62,1,1,1445.823529,red
62,1,1,645.3888889,blue
62,1,1,627.7222222,green
62,2,1,854.2222222,black
62,2,0.875,746.3125,red
62,2,0.944444444,789.5555556,blue
62,2,1,611.1666667,green
63,1,1,642.1428571,black
63,1,0.971428571,691.7142857,red
63,1,1,909.5142857,blue
63,1,0.96969697,704.2727273,green
63,2,1,751.8857143,black
63,2,0.944444444,786.6388889,red
63,2,0.916666667,729.1111111,blue
63,2,0.971428571,734,green
64,1,1,523.6666667,black
64,1,0.9375,627.3125,red
64,1,1,552.2941176,blue
64,1,0.944444444,600.1666667,green
64,2,1,635.7777778,black
64,2,1,556.8888889,red
64,2,1,608,blue
64,2,1,639.4444444,green
65,1,0.9375,626.25,black
65,1,0.944444444,729.4444444,red
65,1,1,739.4705882,blue
65,1,0.888888889,878.2222222,green
65,2,1,851.8888889,black
65,2,1,883,red
65,2,1,831,blue
65,2,0.941176471,843.2352941,green
66,1,1,540.6060606,black
66,1,1,636.75,red
66,1,0.944444444,590.8888889,blue
66,1,1,666.5294118,green
66,2,1,639.1714286,black
66,2,1,625.3055556,red
66,2,0.971428571,606.5428571,blue
66,2,1,614.5714286,green
67,1,1,606.0588235,black
67,1,1,689.5,red
67,1,1,814.1666667,blue
67,1,1,842.1764706,green
67,2,1,783.5882353,black
67,2,0.888888889,931.7777778,red
67,2,1,850.6470588,blue
67,2,0.944444444,831.4444444,green
68,1,0.914285714,553.6857143,black
68,1,0.971428571,689.3428571,red
68,1,0.944444444,694.9444444,blue
68,1,0.944444444,692.0833333,green
68,2,0.942857143,792.0857143,black
68,2,0.939393939,813.1818182,red
68,2,0.972222222,665.8888889,blue
