condition,unit_donate,donate,female,age,math_score
3,,0,0,39,0.074244634
3,,100,0,32,-0.862187046
3,,10,0,46,-0.431935479
1,,0,0,30,-0.2794803
1,,10,1,35,0.043074383
3,,50,1,45,0.330989684
1,,50,1,23,0.070882086
3,,20,1,62,-0.255163393
1,,5,0,21,-0.72580308
2,5,20,0,51,1.092687765
3,,5,0,60,-0.117082579
1,,10,1,28,-0.421489003
2,1,20,0,23,0.38952105
2,20,20,0,24,-0.178192333
2,25,50,0,33,0.048690502
3,,1,0,23,-0.177842477
2,10,20,0,26,-0.119482828
1,,20,1,42,0.070689567
2,20,100,0,27,0.911225356
1,,0,0,23,-1.026313227
2,5,5,0,31,-1.117932851
2,20,100,1,31,1.686635142
2,5,100,0,28,0.152932403
1,,500,1,22,0.084228265
3,,50,1,55,-0.685804931
1,,40,0,48,0.587216632
2,50,200,1,42,0.137151099
3,,10,0,22,0.704985819
1,,1000,1,29,1.443194109
3,,10,0,45,-0.193840333
3,,20,0,43,0.230488332
1,,20,0,51,-0.873464358
1,,100,0,22,0.606742951
2,10,30,0,32,-0.456815902
1,,0,0,25,-0.672258434
2,10,10,1,47,-0.394981849
2,10,28,0,31,-0.460188702
3,,20,0,25,0.884462064
2,0,0,0,45,-0.754238075
3,,20,0,30,-1.494252047
2,10,20,0,28,-1.770659881
2,2,20,0,22,-0.540976689
2,20,20,1,34,-0.837361497
1,,5,0,26,-1.572291689
2,20,40,1,32,-0.054204162
2,5,20,0,30,0.221759547
1,,50,1,35,-1.14633334
1,,40,1,49,0.193479182
2,10,20,0,24,-0.218362904
1,,25,1,30,-1.217862916
3,,50,0,31,1.290623464
1,,100,0,43,-0.5475013
2,5,20,0,29,0.462161975
2,0,0,0,24,-0.138423547
1,,20,0,34,0.082207722
2,0,0,0,21,0.257637391
1,,20,0,20,0.507947686
1,,20,0,27,-1.059021968
3,,0,1,20,0.196976916
2,1,10,0,45,0.016773083
2,40,40,1,41,0.394963782
3,,30,1,40,0.134749857
1,,5,1,22,0.016544038
3,,1,0,20,0.462417666
3,,5,0,24,0.985987402
3,,25,0,42,0.297045912
2,35,25,1,26,-0.640196499
1,,500,0,48,-0.357536348
3,,25,0,22,0.51805902
2,20,20,0,45,0.568406806
3,,20,1,34,0.496990164
3,,20,1,27,0.0809327
3,,20,1,50,-0.042079609
1,,0,0,23,0.129097806
2,10,20,1,36,0.02837027
1,,20,1,54,0.415143136
3,,20,0,49,-0.641678681
1,,50,1,49,-0.711853079
2,0,0,1,45,-0.772722668
3,,0,1,32,0.275412467
1,,5,0,22,-0.496806572
1,,20,0,31,-0.427620241
1,,5,0,23,0.560077895
1,,10,1,25,-0.263094093
2,5,5,0,20,-0.819177543
